"univ","from","to","mean","total_apps","stud_apps","budget_apps","total_per_place","budg_per_place","link","price","year","scopus_public","scopus_qoutes","rate_place","rate_sort","region"
"Індустріальний інститут Державного вищого навчального закладу ""Донецький національний технічний університет""",106.333333333333,162.666666666667,127.1,217,45,37,4,5,"http://kii.donntu.edu.ua/",,2016,,,,500,"Донецька область"
"Інститут підготовки кадрів державної служби зайнятості України",114.333333333333,158.333333333333,134.9,30,10,0,3,,"http://ipk.edu.ua",12380,,,,"240",240,"м. Київ"
"Інститут управління і права Національного юридичного університету імені Ярослава Мудрого",136.666666666667,172.333333333333,153.8,76,3,0,25,,"http://vstup.nlu.edu.ua/",18000,,,,,500,"м. Київ"
"Інститут управління природними ресурсами Вищого навчального закладу «Університет економіки та права «КРОК»",0,0,0,27,0,0,0,,"http://www.krok.edu.ua/ua/umovi-vstupu/umovi-vstupu-do-iupr",9250,,,,,500,"Івано-Франківська область"
"Інститут хімічних технологій Східноукраїнського національного університету імені Володимира Даля (м. Рубіжне)",107,173.666666666667,128.6,127,32,7,4,18,"http://iht.lg.ua/",8250,,,,,500,"Луганська область"
"Кам'янець-Подільський національний університет імені Івана Огієнка",101,191.666666666667,143,654,637,344,1,1,"http://vstup.kpnu.edu.ua",9691,,13,8,"100",100,"Хмельницька область"
"Карпатський інститут підприємництва Вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",110.333333333333,134.333333333333,120.1,34,5,0,6,,"http://hust.vmurol.com.ua",9500,,,,,500,"Закарпатська область"
"Київська дитяча Академія мистецтв",115,164.5,141.2,16,11,9,1,1,"http://www.kdam.kiev.ua/",,,,,"257",257,"м. Київ"
"Київська муніципальна академія естрадного та циркового мистецтв",109.5,188,146.9,66,65,43,1,1,"https://circusacademy.kiev.ua",27000,,,,"255",255,"м. Київ"
"Київський державний інститут декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука",110,194.5,154.5,354,107,44,3,8,"http://kdidpmid.edu.ua",13950,,,,"266",266,"м. Київ"
"Київський інститут музики ім. Р.М. Глієра",125,171,146.8,32,15,8,2,4,"http://www.glierinstitute.org",34500,,,,"227",227,"м. Київ"
"Київський національний лінгвістичний університет",113,197,164.9,10955,1215,335,9,32,"https://onedrive.live.com",23836,,,,"102",102,"м. Київ"
"Київський національний торговельно-економічний університет",101.333333333333,196.333333333333,155.5,24529,2716,612,9,40,"https://knteu.kiev.ua",20584,,140,115,"39, 40",39,"м. Київ"
"Київський національний університет будівництва і архітектури",105.666666666667,197.5,155.3,5803,898,462,6,12,"http://www.knuba.edu.ua/",13500,,356,543,"36",36,"м. Київ"
"Київський національний університет імені Тараса Шевченка",117,199,177.2,43877,4140,2548,10,17,"http://vstup.univ.kiev.ua/",33219,,14802,68483,"1",1,"м. Київ"
"Київський національний університет культури і мистецтв",103.5,195,157.8,1033,1026,732,1,1,"http://knukim.edu.ua",,,,,"97",97,"м. Київ"
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",106,195,158,316,246,129,1,2,"http://knutkt.com.ua",24646,,,,"194",194,"м. Київ"
"Київський національний університет технологій та дизайну",100.333333333333,193,144.8,5362,653,202,8,26,"http://knutd.edu.ua",13143,,269,1683,"26",26,"м. Київ"
"Київський університет імені Бориса Грінченка",100,196.5,156.9,12074,1212,380,10,31,"http://kubg.edu.ua",16732,,17,12,"72",72,"м. Київ"
"Київський університет права Національної академії наук України",106.333333333333,178.666666666667,143.9,705,31,0,22,,"http://kul.kiev.ua",19900,,,,"166, 167",166,"м. Київ"
"Київський університет туризму, економіки і права",103.666666666667,165,125.4,1795,93,0,19,,"http://www.kutep.ua",17400,,,,"201",201,"м. Київ"
"Кіровоградський інститут комерції",127,128.666666666667,127.8,38,2,0,19,,"http://www.kik.kr.ua/",,,,,"226",226,"Кіровоградська область"
"Кіровоградський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",108.333333333333,137.666666666667,123.1,30,10,0,3,,"http://maupkirovograd.com.ua",6510,,,,,500,"Кіровоградська область"
"Кіровоградський інститут розвитку людини вищого навчального закладу Відкритий міжнародний університет розвитку людини ""Україна""",104.666666666667,164,129.2,99,22,0,4,,"http://vmurol.kr.ua",6750,,,,,500,"Кіровоградська область"
"Коледж економіки і технологій Чернігівського національного технологічного університету",0,0,0,7,0,0,0,,"http://ket.stu.cn.ua/",,,,,,500,"Чернігівська область"
"Коледж Національного фармацевтичного університету",106.666666666667,171,137.8,61,33,0,1,,"http://college.nuph.edu.ua",13980,,,,,500,"Харківська область"
"Коломийський навчально-науковий інститут Прикарпатського національного університету імені Василя Стефаника",104,179.333333333333,133,67,45,2,1,33,"http://www.pu.if.ua/depart/Kolomiya/ua/",10233,,,,,500,"Івано-Франківська область"
"Комунальний вищий навчальний заклад ""Вінницька академія неперервної освіти""",0,0,0,19,0,0,0,,"http://academia.vinnica.ua",,,,,"199, 200",199,"Вінницька область"
