"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student"
"Кам'янець-Подільська філія Національного університету харчових технологій",,,,,,,,,,,,,50,54,1,,0,50,
"Кам'янець-Подільський національний університет імені Івана Огієнка",0,1,101,191.666666666667,143,"http://vstup.kpnu.edu.ua",9691,,"100",100,"Хмельницька область",409,1032,1097,1,3,-1,1944,0
"Карпатський інститут підприємництва Вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,110.333333333333,134.333333333333,120.1,"http://hust.vmurol.com.ua",9500,,,500,"Закарпатська область",,6,37,6,,0,6,
"Київська дитяча Академія мистецтв",,,115,164.5,141.2,"http://www.kdam.kiev.ua/",,,"257",257,"м. Київ",9,11,16,1,2,0,11,
"Київська муніципальна академія естрадного та циркового мистецтв",,,109.5,188,146.9,"https://circusacademy.kiev.ua",27000,,"255",255,"м. Київ",43,144,145,1,3,0,191,
"Київська православна богословська академія",,,,,,,,,,,,,14,18,1,,0,33,
"Київський державний інститут декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука",,,110,194.5,154.5,"http://kdidpmid.edu.ua",13950,,"266",266,"м. Київ",44,150,475,3,11,0,194,
"Київський інститут музики ім. Р.М. Глієра",,,125,171,146.8,"http://www.glierinstitute.org",34500,,"227",227,"м. Київ",50,75,116,2,2,0,126,
"Київський національний лінгвістичний університет",,,113,197,164.9,"https://onedrive.live.com",23836,,"102",102,"м. Київ",335,1216,10956,9,33,0,1595,
"Київський національний торговельно-економічний університет",41,17,101.333333333333,196.333333333333,155.5,"https://knteu.kiev.ua",20584,,"39, 40",39,"м. Київ",638,3871,26278,7,41,0.4,5863,6.99300699300699
"Київський національний університет будівництва і архітектури",37,149,105.666666666667,197.5,155.3,"http://www.knuba.edu.ua/",13500,,"36",36,"м. Київ",696,1315,6638,5,10,4,2078,17.8055822906641
"Київський національний університет імені Тараса Шевченка",1349,11024,117,199,177.2,"http://vstup.univ.kiev.ua/",33219,,"1",1,"м. Київ",2661,4332,44269,10,17,8.2,6799,198.411531107516
"Київський національний університет культури і мистецтв",,,103.5,195,157.8,"http://knukim.edu.ua",,,"97",97,"м. Київ",739,1045,1052,1,1,0,1393,
